smiles,log KOA,
Cl/C=C/CCl,3.28,
C=C(Cl)CCl,3.12,
CC=C(Cl)Cl,2.51,
C=CC(Cl)CCl,3.52,
ClC/C=C/CCl,4.15,
ClC/C=C\CCl,4.04,
ClC=C(Cl)Cl,3,
ClC(Cl)=C(Cl)Cl,3.48,
C=CBr,1.66,
C=CCBr,2.42,
Br/C=C\Br,2.77,
C=C(C)CCl,2.46,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.92,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.87,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,9.66,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,9.29,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.58,
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.42,
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,8.07,
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,7.7,
Fc1ccccc1,2.84,
Fc1ccccc1F,2.86,
Fc1ccc(F)cc1,2.93,
Fc1cccc(F)c1,2.71,
FC(F)(F)c1ccccc1,3.24,
Fc1cc(F)c(F)c(F)c1F,2.54,
Cc1c(F)c(F)c(F)c(F)c1F,3.19,
Fc1c(F)c(F)c(F)c(F)c1F,2.11,
Clc1ccccc1,3.58,
ClCc1ccccc1,3.74,
Cc1ccccc1Cl,4.11,
Cc1cccc(Cl)c1,4.15,
Cc1ccc(Cl)cc1,4.15,
Clc1ccccc1Cl,4.39,
Clc1ccc(Cl)cc1,4.3,
Clc1cccc(Cl)c1,4.29,
Cc1ccc(Cl)cc1Cl,5.17,
Cc1c(Cl)cccc1Cl,5.13,
Cc1ccc(Cl)c(Cl)c1,5,
ClC(Cl)c1ccccc1,5.01,
Clc1cccc(Cl)c1Cl,5.16,
Clc1ccc(Cl)c(Cl)c1,5.1,
Clc1cc(Cl)cc(Cl)c1,4.91,
Cc1cc(Cl)c(Cl)cc1Cl,5.89,
ClC(Cl)(Cl)c1ccccc1,4.15,
Clc1ccc(Cl)c(Cl)c1Cl,5.83,
Clc1cc(Cl)c(Cl)c(Cl)c1,5.78,
Clc1cc(Cl)c(Cl)cc1Cl,5.8,
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,6.75,
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,7.25,
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,7.55,
Brc1ccccc1,4.08,
BrCc1ccccc1,4.65,
