FG,AMOUNT,AVG,STD
cI,10,2.27208616733551,0.049177166428239855
C[N+](=O)[O-],10,1.731667399406433,0.08457153986028171
cN(COC)C(C)=O,4,2.2309001684188843,0.01530071372048954
CNC,11,0.7443107474933971,0.03833795956552446
CO[N+](=O)[O-],30,1.889248259862264,0.06876931149316877
CC=O,9,1.4372028377321031,0.08196505248590415
cSc,4,0.8563203811645508,0.017126173839548953
cN(c)C,1,0.6383733749389648,0.0
C/C=C(/C)C,1,1.1580290794372559,0.0
cSCSP(=S)(OC)OC,1,4.254006385803223,0.0
cN(C(C)=O)N1CCOC1=O,1,3.7498207092285156,0.0
C/C=C\C,6,0.826754113038381,0.19247025148539795
c-n(c)nc,10,1.1927174568176269,0.12376850725164194
cNS(C)(=O)=O,1,2.652364730834961,0.0
CSC(=O)N(C)C,12,2.5446653167406716,0.21355038252216954
C=CC(=O)OC,5,2.0070395946502684,0.22798015599230678
O=C1ccC(=O)O1,1,2.572294235229492,0.0
cC1=NCC(=O)N1,4,3.5947444438934326,0.004738592255734479
cC(=O)ON(C)C(c)=O,1,2.1610116958618164,0.0
cNC(=O)N(C)OC,2,3.6554479598999023,0.0006847381591796875
cS(N)(=O)=O,1,3.2920989990234375,0.0
CC(=O)/C=C/C(C)=C(C)C,1,2.9862005710601807,0.0
CC(=O)C(C)=C(C)C,2,1.9161350727081299,0.13614392280578613
COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,1,5.359967231750488,0.0
cC#N,18,1.4404237402809992,0.07831449350874899
COS(=O)(=O)OC,3,2.8083905378977456,0.006885501360722099
CC(Cl)=C(C)Cl,10,2.109256410598755,0.0031074806863629727
CSC,9,0.9053062597910563,0.041898639370650935
CN=NC,1,0.8589911460876465,0.0
cC=O,14,1.490151286125183,0.027432675876378123
cNC(=O)OC,7,2.816770144871303,0.08593001762616258
c[nH]c,12,1.1083515286445618,0.0344556760104397
C/C=C/Cl,2,1.6718525886535645,0.04508638381958008
cOC(=O)/C=C/C,1,1.995875358581543,0.0
CNC(=O)NC,1,3.5215206146240234,0.0
CC1OC1(C)C,1,1.1149001121520996,0.0
CN,16,1.2271636575460434,0.06474406401966341
O=C1OCCO1,1,2.153507947921753,0.0
CN(C)N=O,12,2.05559649070104,0.20457224935713006
CN=C(NC)N[N+](=O)[O-],1,6.062989234924316,0.0
CC1OC1(C)Cl,1,1.702754020690918,0.0
cnn(c)[Sn](C)(C)C,1,3.2213993072509766,0.0
cC1=C(OC(C)=O)COC1=O,1,3.014944076538086,0.0
C/C(Cl)=C/C,2,1.2558927536010742,0.0
cNC(=O)NS(c)(=O)=O,7,5.388193266732352,0.03874597942378822
cOP(c)(=S)OC,2,1.8583598136901855,0.004328250885009766
CC(=O)C=C(C)C,1,2.048976182937622,0.0
C/C=C/C=C/C,1,1.741445541381836,0.0
cC(=O)N(c)C,3,1.211264928181966,0.022664582279064534
COP(=O)(SC)N1CCSC1=O,1,5.710318088531494,0.0
COP(=O)(OC)SC,1,2.9848756790161133,0.0
